Chlc1 anion Qy		Tm
1	NB	0.076453
2	ND	-0.067549
3	C1A	0.134351
4	C1B	-0.036281
5	C1C	-0.141937
6	C1D	0.069643
7	C2A	-0.036325
8	C2B	-0.014996
9	C2C	0.015645
10	C2D	0.036226
11	C3A	0.035296
12	C3B	-0.021432
13	C3C	-0.030268
14	C3D	0.029118
15	C4A	-0.079231
16	C4B	-0.132559
17	C4C	0.085293
18	C4D	0.075478
19	CAA	-0.000251
20	CAB	0.024824
21	CAC	0.005907
22	CAD	-0.035089
23	CBA	-0.009014
24	CBB	-0.023063
25	CBC	-0.006428
26	CBD	0.077450
27	CED	0.007532
28	CGA	0.002393
29	CGD	-0.016501
30	CHA	-0.165052
31	CHB	0.045184
32	CHC	0.174364
33	CHD	-0.086703
34	CMA	0.001031
35	CMB	-0.003594
36	CMC	0.006240
37	CMD	0.001660
38	NA	-0.021856
39	NC	0.018133
40	O1A	-0.002805
41	O1D	0.001318
42	O2A	-0.003133
43	O2D	-0.012080
44	OBD	0.019770
45	MG	0.002816
