-34.167 -0.605 30.521 0.000830
-21.553 3.288 31.542 -0.001636
-30.749 0.222 30.791 0.011022
-31.837 -0.569 30.698 -0.016888
-31.763 -2.061 30.800 0.005773
-33.136 0.063 30.509 0.002659
-33.186 1.560 30.286 -0.005285
-34.639 2.006 30.128 0.007139
-35.628 2.538 31.169 -0.007148
-37.089 2.425 30.766 0.000774
-37.310 2.649 29.280 0.000125
-36.629 1.508 28.576 0.000804
-22.422 2.246 31.483 -0.001969
-35.128 1.586 28.746 -0.003683
-34.370 0.933 27.597 0.001112
-35.296 4.000 31.405 0.000956
-35.479 1.784 32.486 0.002802
-20.113 2.995 31.674 0.014190
-19.193 3.901 32.025 -0.013951
-17.790 3.475 32.163 0.005963
-16.789 4.319 32.455 -0.017126
-17.031 5.791 32.613 0.006247
-15.413 3.795 32.621 -0.001667
-23.874 2.384 31.374 0.007143
-14.437 4.520 32.989 0.000936
-13.408 5.189 33.328 -0.004320
-13.026 5.430 34.780 0.003348
-12.639 6.881 34.959 0.000024
-11.577 7.338 33.977 -0.000017
-12.154 7.240 32.576 -0.000539
-12.525 5.787 32.238 0.001995
-13.199 5.722 30.884 -0.000219
-10.231 9.309 33.579 0.000224
-10.523 10.429 32.622 -0.000064
-24.660 1.285 31.289 0.000472
-11.852 4.568 35.213 -0.000700
-14.226 5.150 35.678 -0.001111
-26.122 1.418 31.163 0.005439
-26.973 0.373 31.070 -0.007804
-26.499 -1.052 31.054 -0.000671
-28.411 0.648 30.933 0.022358
-29.380 -0.268 30.973 -0.016501
-34.653 2.910 29.020 0.000232
-38.701 2.539 28.974 -0.000135
-11.318 5.022 32.171 -0.000507
-11.323 8.700 34.301 -0.000061
-9.116 8.881 33.789 -0.000017
