Chlc1 anion Qx		Tm
1	NB	0.028974
2	ND	-0.020846
3	C1A	-0.088465
4	C1B	-0.157801
5	C1C	0.044913
6	C1D	0.157099
7	C2A	-0.002686
8	C2B	0.015101
9	C2C	0.023322
10	C2D	-0.047475
11	C3A	0.030518
12	C3B	-0.033133
13	C3C	0.006355
14	C3D	0.017691
15	C4A	-0.159967
16	C4B	0.086622
17	C4C	0.131041
18	C4D	-0.098261
19	CAA	0.002717
20	CAB	0.013250
21	CAC	-0.011004
22	CAD	0.024285
23	CBA	-0.014931
24	CBB	-0.019671
25	CBC	0.007109
26	CBD	-0.063235
27	CED	-0.001586
28	CGA	0.007860
29	CGD	0.011570
30	CHA	0.155032
31	CHB	0.207006
32	CHC	-0.086872
33	CHD	-0.187728
34	CMA	-0.006824
35	CMB	0.002999
36	CMC	-0.000166
37	CMD	0.000743
38	NA	0.097188
39	NC	-0.083935
40	O1A	-0.003203
41	O1D	0.000591
42	O2A	-0.005846
43	O2D	0.007760
44	OBD	0.009632
45	MG	0.004237
