C1    -1.1388
C2    -0.295631
C3     0.28599
C4     0.383025
C5    -0.0835392
C6     1.43786
C7     3.20417
C8    -1.76788
C9     15.9105
C10   -6.99068
C11    8.80642
C12   -12.0585
C13    8.37962
C14   -9.86263
C15   -6.05704
C16   -2.53405
C17    5.01179
C18    1.437
C19   -23.3693
C20   -1.14162
O3     0.0316889
C21   -2.76705
C22    0.0859908
C23   -1.19075
C24    1.25001
C25   -4.51238
C26    8.62995
C27   -1.43048
C28    0.0218088
C29    14.7373
C30   -7.1533
C31    7.99937
C32   -7.78792
C33    5.28601
C34   -9.05833
C35   -4.29459
C36    1.4171
C37    1.11427
C38    4.22636
C39   -19.4855
C40    0.661733
O23    0.314159
H49   -0.257015
H50    0.220719
H43    0.00340048
H36    0.0130067
H37   -0.134687
H35   -0.805084
H34    0.0722755
H55    2.95799
H54   -3.71955
H53    1.97011
H52    4.83486
H51    1.25782
H30    0.68395
H31    0.531928
H32    0.780606
H27   -1.54921
H28   -0.964921
H29   -1.30529
H24   -0.206957
H25   -0.23047
H26   -0.562821
H21    5.79556
H22    5.37835
H23    5.38182
H18    0.531107
H19    0.64419
H20   -1.18537
H33   -0.112022
H16   -0.101019
H17    0.250541
H48    0.313484
H47    0.0427461
H46   -1.63629
H45    0.203835
H44   -0.502647
H42    3.1343
H41   -3.55757
H40    0.770135
H39    5.11703
H38    0.741253
H13   -0.481107
H14   -0.206251
H15   -0.385975
H10   -0.190277
H11   -0.36306
H12   -0.153416
H7    -1.0533
H8    -0.978057
H9    -0.833292
H4     4.35178
H5     4.92255
H6     4.3374
H1    -1.43313
H2     0.117162
H3     0.0794228
H56   -0.111071
